,Date,Mining Revenue
417,2018-12-23,8628688.412010001
418,2018-12-22,7151635.290519999
419,2018-12-21,6831099.2465
420,2018-12-20,7217876.41407
421,2018-12-19,5802769.461069999
422,2018-12-18,6855967.42965
423,2018-12-17,4750978.9129099995
424,2018-12-16,6066378.70445
425,2018-12-15,6065304.90723
426,2018-12-14,5653823.06385
427,2018-12-13,5270463.56845
428,2018-12-12,5433317.23726
429,2018-12-11,5543093.347469999
430,2018-12-10,5705487.75609
431,2018-12-09,5521458.33408
432,2018-12-08,4959282.00473
433,2018-12-07,6422799.8146
434,2018-12-06,6371334.8135
435,2018-12-05,6958363.40458
436,2018-12-04,5777217.66638
437,2018-12-03,6035630.09374
438,2018-12-02,6509108.17643
439,2018-12-01,5352395.99184
440,2018-11-30,5788394.48956
441,2018-11-29,6211551.652980001
442,2018-11-28,6283605.98769
443,2018-11-27,5589818.89319
444,2018-11-26,6192219.6896
445,2018-11-25,7809122.34535
446,2018-11-24,6892717.83461
447,2018-11-23,7114929.81887
448,2018-11-22,6176914.17717
449,2018-11-21,8032834.08028
450,2018-11-20,8565705.29353
451,2018-11-19,8720411.74296
452,2018-11-18,10194101.7112
453,2018-11-17,9020655.432330001
454,2018-11-16,9131131.58594
455,2018-11-15,10581750.7055
456,2018-11-14,9673254.19354
457,2018-11-13,11326127.0809
458,2018-11-12,11730527.0632
459,2018-11-11,10584955.8853
460,2018-11-10,10321706.7216
461,2018-11-09,9946659.82184
462,2018-11-08,10758522.3474
463,2018-11-07,10436213.8779
464,2018-11-06,11706835.6991
465,2018-11-05,9909549.948689999
466,2018-11-04,12893634.8829
467,2018-11-03,11535019.9036
468,2018-11-02,12319622.9516
469,2018-11-01,12962284.6889
470,2018-10-31,12264134.0728
471,2018-10-30,11773496.6611
472,2018-10-29,11390873.4359
473,2018-10-28,11076740.7652
474,2018-10-27,11687812.0159
475,2018-10-26,11207341.4591
476,2018-10-25,9303249.64232
477,2018-10-24,12584228.6109
478,2018-10-23,12699337.8429
479,2018-10-22,11348423.0213
480,2018-10-21,11691729.2438
481,2018-10-20,11629773.63
482,2018-10-19,11448484.2938
483,2018-10-18,11502916.7006
484,2018-10-17,11259236.3222
485,2018-10-16,13215486.3513
486,2018-10-15,9054868.80625
487,2018-10-14,11117559.4896
488,2018-10-13,10445356.7323
489,2018-10-12,12534246.1296
490,2018-10-11,11916022.1738
491,2018-10-10,10870641.0195
492,2018-10-09,11279998.4337
493,2018-10-08,11727102.619
494,2018-10-07,10399267.317
495,2018-10-06,10814043.71
496,2018-10-05,12429603.1225
497,2018-10-04,11865841.3485
498,2018-10-03,11407332.6584
499,2018-10-02,13160999.4467
500,2018-10-01,13535231.1002
501,2018-09-30,12571059.9003
502,2018-09-29,13046981.4048
503,2018-09-28,11836751.4807
504,2018-09-27,11369486.0866
505,2018-09-26,13676604.3032
506,2018-09-25,12385677.9782
507,2018-09-24,12679234.025999999
508,2018-09-23,13124461.7112
509,2018-09-22,12176819.2713
510,2018-09-21,12472948.4743
511,2018-09-20,12463162.5358
512,2018-09-19,11296243.3776
513,2018-09-18,10912753.5263
514,2018-09-17,11344822.2447
515,2018-09-16,11509988.8514
516,2018-09-15,10861356.2841
517,2018-09-14,12063757.5583
518,2018-09-13,13323607.1515
519,2018-09-12,11243810.4714
520,2018-09-11,10753469.6136
521,2018-09-10,12924076.0946
522,2018-09-09,12056257.7326
523,2018-09-08,12425079.4152
524,2018-09-07,12263681.832999999
525,2018-09-06,11962954.2145
526,2018-09-05,11716417.735
527,2018-09-04,13214317.5544
528,2018-09-03,13164449.0812
529,2018-09-02,13539458.2481
530,2018-09-01,13703858.6682
531,2018-08-31,13512459.5225
532,2018-08-30,12423621.4581
533,2018-08-29,13704072.5546
534,2018-08-28,15757726.0164
535,2018-08-27,14616492.4672
536,2018-08-26,11480569.008
537,2018-08-25,12067487.5609
538,2018-08-24,12109214.1826
539,2018-08-23,13310066.6325
540,2018-08-22,12000750.7951
541,2018-08-21,12251866.1225
542,2018-08-20,11716527.5641
543,2018-08-19,12979347.0715
544,2018-08-18,12467282.792000001
545,2018-08-17,12679218.3411
546,2018-08-16,12945905.1935
547,2018-08-15,10446684.9281
548,2018-08-14,12027194.9917
549,2018-08-13,12308443.9327
550,2018-08-12,13261117.577
551,2018-08-11,14202869.6197
552,2018-08-10,12046723.138
553,2018-08-09,12792695.7482
554,2018-08-08,12988132.875
555,2018-08-07,11517945.75
556,2018-08-06,14016460.0
557,2018-08-05,16381955.16
558,2018-08-04,15674653.75
559,2018-08-03,14541709.8
560,2018-08-02,14445819.08
561,2018-08-01,14996021.25
562,2018-07-31,13817728.25
563,2018-07-30,17431648.02
564,2018-07-29,14770485.99
565,2018-07-28,16568111.75
566,2018-07-27,16911592.5
567,2018-07-26,18661751.625
568,2018-07-25,15319928.25
569,2018-07-24,15381186.5
570,2018-07-23,16874334.75
571,2018-07-22,12556546.625
572,2018-07-21,14443929.5
573,2018-07-20,15668190.72
574,2018-07-19,16010523.0
575,2018-07-18,13252292.25
576,2018-07-17,9550007.43
577,2018-07-16,10424456.875
578,2018-07-15,10322279.625
579,2018-07-14,11015182.75
580,2018-07-13,11268737.625
581,2018-07-12,10811120.625
582,2018-07-11,12485753.0
583,2018-07-10,11427128.0
584,2018-07-09,13062255.0
585,2018-07-08,12914635.5
586,2018-07-07,13022240.0
587,2018-07-06,11467704.875
588,2018-07-05,11089706.0
589,2018-07-04,9617154.0
590,2018-07-03,11271293.25
591,2018-07-02,11673361.875
592,2018-07-01,10494418.5
593,2018-06-30,11236721.625
594,2018-06-29,12052693.75
595,2018-06-28,9288788.415
596,2018-06-27,11395190.5
597,2018-06-26,12092548.545
598,2018-06-25,13225424.94
599,2018-06-24,12098140.0
600,2018-06-23,12793132.95
601,2018-06-22,14388442.37
602,2018-06-21,13820511.8025
603,2018-06-20,13329154.5
604,2018-06-19,13762650.4
605,2018-06-18,12686407.8958
606,2018-06-17,13507060.3333
607,2018-06-16,12305193.3
608,2018-06-15,12712413.0
609,2018-06-14,11320892.25
610,2018-06-13,11844835.5208
611,2018-06-12,12039312.7617
612,2018-06-11,10758310.2292
613,2018-06-10,13551637.5292
614,2018-06-09,13811527.9167
615,2018-06-08,13721335.6042
616,2018-06-07,14067189.5
617,2018-06-06,16659392.1858
618,2018-06-05,17156875.25
619,2018-06-04,15688517.725
620,2018-06-03,14525778.6667
621,2018-06-02,15635429.3333
622,2018-06-01,15919297.25
623,2018-05-31,16063234.125
624,2018-05-30,12968995.585
625,2018-05-29,13947339.5
626,2018-05-28,15091754.9167
627,2018-05-27,14869389.375
628,2018-05-26,16379524.3333
629,2018-05-25,13524570.5833
630,2018-05-24,15300373.5
631,2018-05-23,15129407.25
632,2018-05-22,16465039.572999999
633,2018-05-21,15313332.0
634,2018-05-20,15829830.0417
635,2018-05-19,15433623.015
636,2018-05-18,13537217.6167
637,2018-05-17,18670664.4117
638,2018-05-16,15533410.85
639,2018-05-15,14284515.2883
640,2018-05-14,16146155.5833
641,2018-05-13,17498965.0
642,2018-05-12,13452669.738
643,2018-05-11,17520355.4167
644,2018-05-10,18644083.3333
645,2018-05-09,16034706.9792
646,2018-05-08,17532514.44
647,2018-05-07,16501238.5101
648,2018-05-06,19738957.9733
649,2018-05-05,16751009.25
650,2018-05-04,18194118.9792
651,2018-05-03,16155938.352
652,2018-05-02,17923394.9167
653,2018-05-01,17940416.875
654,2018-04-30,18435206.2917
655,2018-04-29,14931203.5067
656,2018-04-28,16065400.56
657,2018-04-27,16429027.8425
658,2018-04-26,14253380.3133
659,2018-04-25,19144528.397
660,2018-04-24,17086010.4375
661,2018-04-23,17677096.6667
662,2018-04-22,17521934.3475
663,2018-04-21,15169132.8642
664,2018-04-20,18366540.625
665,2018-04-19,16329874.8515
666,2018-04-18,15988219.2751
667,2018-04-17,14177203.375
668,2018-04-16,16994274.7292
669,2018-04-15,13762525.1755
670,2018-04-14,16284279.6875
671,2018-04-13,15107101.625
672,2018-04-12,13939111.6667
673,2018-04-11,13914521.9167
674,2018-04-10,12309914.75
675,2018-04-09,14130051.6983
676,2018-04-08,15587298.0
677,2018-04-07,11431310.51
678,2018-04-06,13311694.5
679,2018-04-05,12472512.0625
680,2018-04-04,15098761.3125
681,2018-04-03,13719904.25
682,2018-04-02,13758062.625
683,2018-04-01,11096768.0
684,2018-03-31,13937126.625
685,2018-03-30,13627332.0
686,2018-03-29,13433141.25
687,2018-03-28,14964770.5
688,2018-03-27,15370403.125
689,2018-03-26,14541688.125
690,2018-03-25,16891637.75
691,2018-03-24,14450536.16
692,2018-03-23,15534104.8958
693,2018-03-22,17009679.0867
694,2018-03-21,14275767.4275
695,2018-03-20,16306726.6167
696,2018-03-19,15423545.8125
697,2018-03-18,14888219.0238
698,2018-03-17,16634283.9
699,2018-03-16,15044619.0
700,2018-03-15,14672757.0
701,2018-03-14,18172079.5
702,2018-03-13,18489655.0517
703,2018-03-12,18756523.695
704,2018-03-11,15401709.522
705,2018-03-10,16597022.2367
706,2018-03-09,19122238.46
707,2018-03-08,19856688.825
708,2018-03-07,20998999.9483
709,2018-03-06,21689457.57
710,2018-03-05,21145836.0833
711,2018-03-04,25485633.75
712,2018-03-03,21569895.065
713,2018-03-02,22728868.4508
714,2018-03-01,20144045.5125
715,2018-02-28,21592349.9667
716,2018-02-27,18260110.5817
717,2018-02-26,20726468.25
718,2018-02-25,18033349.182
719,2018-02-24,19145427.8
720,2018-02-23,18506552.0508
721,2018-02-22,22261055.1875
722,2018-02-21,20189469.2292
723,2018-02-20,22566369.915
724,2018-02-19,21269179.125
725,2018-02-18,20236577.4458
726,2018-02-17,19925190.5792
727,2018-02-16,16527155.601
728,2018-02-15,20951584.5167
729,2018-02-14,17728596.585
730,2018-02-13,18398084.88
731,2018-02-12,15831705.8625
732,2018-02-11,15154655.1653
733,2018-02-10,14685356.425
734,2018-02-09,13782297.575
735,2018-02-08,14762174.0625
736,2018-02-07,17000620.9333
737,2018-02-06,16457612.3083
738,2018-02-05,19061071.0683
739,2018-02-04,18561807.1917
740,2018-02-03,20349747.21
741,2018-02-02,19329173.7333
742,2018-02-01,15840583.36
743,2018-01-31,22124873.9708
744,2018-01-30,21651636.805
745,2018-01-29,24143236.92
746,2018-01-28,23654604.1083
747,2018-01-27,22680092.5125
748,2018-01-26,23853113.88
749,2018-01-25,27021008.7083
750,2018-01-24,27086864.964
751,2018-01-23,24447639.6433
752,2018-01-22,29815798.362
753,2018-01-21,33309440.4533
754,2018-01-20,28241982.9
755,2018-01-19,31046750.9517
756,2018-01-18,29865677.22
757,2018-01-17,28025172.3225
758,2018-01-16,32326136.172
759,2018-01-15,32575141.38
760,2018-01-14,33603224.7
761,2018-01-13,38260425.5
762,2018-01-12,40136372.689
763,2018-01-11,41068171.475
764,2018-01-10,39993340.56
765,2018-01-09,41050023.0267
766,2018-01-08,43826673.4267
767,2018-01-07,46900388.18399999
768,2018-01-06,41569957.46
769,2018-01-05,42527795.29
770,2018-01-04,39612658.0758
771,2018-01-03,40553327.6417
772,2018-01-02,32334328.9867
773,2018-01-01,35435185.8625
774,2017-12-31,33640243.617
775,2017-12-30,40531227.59
776,2017-12-29,37008426.9192
777,2017-12-28,41529952.92
778,2017-12-27,38893686.4983
779,2017-12-26,32706729.1342
780,2017-12-25,37634874.15
781,2017-12-24,41833672.6492
782,2017-12-23,51049170.6725
783,2017-12-22,43552942.14
784,2017-12-21,40786861.3917
785,2017-12-20,41629001.0817
786,2017-12-19,52600190.3933
787,2017-12-18,53191582.1375
788,2017-12-17,50569835.225
789,2017-12-16,46748982.95
790,2017-12-15,47709970.56600001
791,2017-12-14,47718952.9667
792,2017-12-13,41532449.5733
793,2017-12-12,42517108.925
794,2017-12-11,36118756.345
795,2017-12-10,40234510.3422
796,2017-12-09,40290718.09
797,2017-12-08,35850533.4458
798,2017-12-07,34001400.78
799,2017-12-06,28080616.4
800,2017-12-05,27786214.755
801,2017-12-04,26076363.222
802,2017-12-03,23388265.6042
803,2017-12-02,26605722.884
804,2017-12-01,22988871.266
805,2017-11-30,23310275.2025
806,2017-11-29,21029651.1367
807,2017-11-28,22128557.8289
808,2017-11-27,18860738.1297
809,2017-11-26,18041747.8565
810,2017-11-25,16712356.6142
811,2017-11-24,17540614.875
812,2017-11-23,13902700.8525
813,2017-11-22,19226652.9
814,2017-11-21,20065228.0629
815,2017-11-20,17376609.3247
816,2017-11-19,15016726.6764
817,2017-11-18,18692415.9222
818,2017-11-17,18216836.5617
819,2017-11-16,17742474.7056
820,2017-11-15,14299314.2248
821,2017-11-14,16126660.1871
822,2017-11-13,8791671.835169999
823,2017-11-12,8125360.76957
824,2017-11-11,11846298.4095
825,2017-11-10,15722628.4023
826,2017-11-09,15069064.604
827,2017-11-08,15347363.3329
828,2017-11-07,12842419.1875
829,2017-11-06,13953618.8916
830,2017-11-05,13655329.5294
831,2017-11-04,12261316.1222
832,2017-11-03,14715617.8482
833,2017-11-02,10194586.5722
834,2017-11-01,12093705.3005
835,2017-10-31,12373554.1068
836,2017-10-30,13055675.5564
837,2017-10-29,6888711.11288
838,2017-10-28,8162322.04643
839,2017-10-27,13483500.6973
840,2017-10-26,13473857.9505
841,2017-10-25,12165126.4504
842,2017-10-24,13224117.7399
843,2017-10-23,14108349.1689
844,2017-10-22,12037733.1808
845,2017-10-21,13875336.5587
846,2017-10-20,13368296.589000002
847,2017-10-19,11106217.6403
848,2017-10-18,12204886.7833
849,2017-10-17,13050105.4053
850,2017-10-16,14217107.1208
851,2017-10-15,11022592.0874
852,2017-10-14,10610179.1226
853,2017-10-13,10754101.415
854,2017-10-12,8773873.83822
855,2017-10-11,10009312.04
856,2017-10-10,9983563.75292
857,2017-10-09,10645075.6832
858,2017-10-08,8787392.86667
859,2017-10-07,8954115.66833
860,2017-10-06,7204663.746
861,2017-10-05,7436308.0
862,2017-10-04,10134350.2293
863,2017-10-03,8729898.6625
864,2017-10-02,7369621.81367
865,2017-10-01,7690943.39377
866,2017-09-30,9047637.34333
867,2017-09-29,9528010.17087
868,2017-09-28,8033183.85064
869,2017-09-27,7065925.44168
870,2017-09-26,6522957.2475
871,2017-09-25,6815446.316330001
872,2017-09-24,7983281.9066
873,2017-09-23,6520223.32087
874,2017-09-22,8287404.38525
875,2017-09-21,6147321.55583
876,2017-09-20,8091884.16
877,2017-09-19,6960684.991669999
