,Date,Hashrate_Price_Multiple
409,2018-12-31,44676132.2353
410,2018-12-30,35030149.139
411,2018-12-29,42391557.2914
412,2018-12-28,44168448.9144
413,2018-12-27,39853140.6872
414,2018-12-26,40360824.008
415,2018-12-25,38583932.385
416,2018-12-24,44676132.2353
417,2018-12-23,44422290.5749
418,2018-12-22,35537832.4599
419,2018-12-21,34268624.1577
420,2018-12-20,37822407.4037
421,2018-12-19,32491732.5347
422,2018-12-18,44909481.2636
423,2018-12-17,32278689.6582
424,2018-12-16,41821954.4267
425,2018-12-15,40979901.653000005
426,2018-12-14,36769637.7846
427,2018-12-13,33682110.9477
428,2018-12-12,35085532.2372
429,2018-12-11,34804847.9793
430,2018-12-10,35927585.0109
431,2018-12-09,35646900.753
432,2018-12-08,31998005.4003
433,2018-12-07,37892374.8162
434,2018-12-06,36488953.5267
435,2018-12-05,38734427.5899
436,2018-12-04,31998005.4003
437,2018-12-03,37704074.2119
438,2018-12-02,41011449.1428
439,2018-12-01,33404486.8018
440,2018-11-30,34727436.7741
441,2018-11-29,39027024.1843
442,2018-11-28,43326611.5944
443,2018-11-27,36711861.7326
444,2018-11-26,42003661.622
445,2018-11-25,47295461.5114
446,2018-11-24,41342186.6359
447,2018-11-23,40349974.1566
448,2018-11-22,34727436.7741
449,2018-11-21,43657349.0875
450,2018-11-20,41672924.1289
451,2018-11-19,40680711.6497
452,2018-11-18,47956936.4976
453,2018-11-17,41672924.1289
454,2018-11-16,45356615.7674
455,2018-11-15,48213725.4221
456,2018-11-14,42856644.8196
457,2018-11-13,49999418.9562
458,2018-11-12,52142251.1972
459,2018-11-11,46785170.5947
460,2018-11-10,45356615.7674
461,2018-11-09,43213783.5264
462,2018-11-08,46428031.8879
463,2018-11-07,45713754.4743
464,2018-11-06,51427973.7835
465,2018-11-05,43928060.9401
466,2018-11-04,57499331.7996
467,2018-11-03,51070835.0767
468,2018-11-02,54999360.8518
469,2018-11-01,58201028.6134
470,2018-10-31,54987474.8863
471,2018-10-30,52130982.6844
472,2018-10-29,49988613.533
473,2018-10-28,48560367.4321
474,2018-10-27,51059798.1087
475,2018-10-26,48917428.9573
476,2018-10-25,40347952.3516
477,2018-10-24,54987474.8863
478,2018-10-23,55344536.4115
479,2018-10-22,49274490.4825
480,2018-10-21,51059798.1087
481,2018-10-20,50702736.5835
482,2018-10-19,49274490.4825
483,2018-10-18,51141213.2188
484,2018-10-17,50029447.7141
485,2018-10-16,60035337.2569
